country,city,lat,long
Singapore,Singapore,1.29027,103.851959
Thailand,Bangkok,13.736717,100.523186
Thailand,Pattaya,12.927608,100.877083
Japan,Tokyo,35.652832,139.839478
Japan,Nagoya,35.183334,136.899994
New Zealand,Auckland,-36.848461,174.763336
United States,"New York City, NY",40.73061,-73.935242
United States,"Philadelphia, PA",39.952583,-75.165222
United States,"Boston, MA",42.361145,-71.057083
United States,"San Francisco, CA",37.773972,-122.431297
United States,"Providence, RI",41.825226,-71.418884
United States,"Washington, D.C.",38.89511,-77.03637
United States,"Woodmore, MD",38.934861,-76.778202
United States,"Ashburn, VA",39.0437192,-77.4874899
United States,"Champlain, NY",44.987738,-73.43543
Canada,"Niagara Falls, ON",43.060001,-79.106667
Canada,"Leeds and the Thousand Islands, ON",44.45,-76.0833
Vietnam,Hanoi,21.028511,105.804817
Vietnam,Ho Chi Minh City,10.762622,106.660172
Vietnam,Da Nang,16.047079,108.20623
Vietnam,Vung Tau,10.410157,107.136555
Vietnam,Nha Trang,12.2388,109.1967
Vietnam,Hue,16.4637,107.5909
Vietnam,Ha Long,20.959902,107.042542